"Id","Mission","Sensor","Product","COLLECTION","Status","Start","Stop","Orbit","Track","Frame","Swath","Station","PASSTIME","Pass","SCENE_CENTER","FOOTPRINT","ACQUISITIONDESCRIPTOR","THUMBNAIL_URL","PRODUCT_TYPE","CLOUD_COVER_PERCENTAGE","SNOW_COVER_PERCENTAGE","IMAGE_QUALITY_DEGRATATION","Display","Mosaic"
"1","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-01 09:15:26.51","2012-01-01 09:17:14.56","51458","151","","I6","","2171574/2279624","D","47.2 14.09","50.44 14.38 50.33 15.41 47.07 14.56 43.95 13.79 44.07 12.87 47.18 13.59 50.44 14.38","ENVISAT-1-12010109152651-14805.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120101T091526510-20120101T091714560_D_T-XI0B.jpg","","","","","true","false"
"2","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-01 09:16:00.28","2012-01-01 09:17:53.10","51458","151","","I6","","2205344/2318164","D","45.06 13.58","48.45 13.89 48.34 14.89 45.29 14.12 41.75 13.27 41.67 13.25 41.78 12.37 41.86 12.39 45.41 13.18 48.45 13.89","ENVISAT-1-12010109160028-15282.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120101T091600280-20120101T091753100_D_T-XI0B.jpg","","","","","true","false"
"3","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-01 09:17:06.91","2012-01-01 09:17:54.19","51458","151","","I6","","2271974/2319254","D","43.06 13.11","44.52 12.97 44.4 13.9 41.61 13.23 41.72 12.36 44.52 12.97","ENVISAT-1-12010109170691-4728.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120101T091706910-20120101T091754190_D_T-XI0B.jpg","","","","","true","false"
"4","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-02 10:17:50.29","2012-01-02 10:18:23.04","51473","166","","I1","","2106277/2139024","D","52.64 4.86","53.71 4.44 53.48 6.05 51.56 5.26 51.79 3.72 53.71 4.44","ENVISAT-1-12010210175029-3275.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120102T101750290-20120102T101823040_D_T-XI0B.jpg","","","","","true","false"
"5","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-02 10:18:30.54","2012-01-02 10:19:39.81","51473","166","","I6","","2146524/2215794","D","49.82 -1.12","51.92 -1.12 51.8 -0.05 48.84 -0.85 47.72 -1.15 47.83 -2.13 48.95 -1.85 51.92 -1.12","ENVISAT-1-12010210183054-10927.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120102T101830540-20120102T101939810_D_T-XI0B.jpg","","","","","true","false"
"6","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-02 10:18:30.54","2012-01-02 10:20:18.22","51473","166","","I6","","2146524/2254204","D","48.68 -1.41","51.92 -1.12 51.8 -0.05 48.84 -0.85 45.45 -1.71 45.57 -2.66 48.95 -1.85 51.92 -1.12","ENVISAT-1-12010210183054-14768.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120102T101830540-20120102T102018220_D_T-XI0B.jpg","","","","","true","false"
"7","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-02 10:20:42.23","2012-01-02 10:23:56.22","51473","166","","I6","","2278214/2472204","D","38.36 -3.81","44.15 -2.98 44.03 -2.06 40.57 -2.87 37.01 -3.67 33.46 -4.45 32.55 -4.64 32.67 -5.42 33.57 -5.23 37.13 -4.5 40.68 -3.74 44.15 -2.98","ENVISAT-1-12010210204223-31399.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120102T102042230-20120102T102356220_D_T-XI0B.jpg","","","","","true","false"
"8","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-02 21:38:35.07","2012-01-02 21:39:04.18","51480","173","","I7","","853423/882538","A","52.65 5.3","51.83 5.93 51.75 5.11 53.47 4.66 53.55 5.51 51.83 5.93","ENVISAT-1-12010221383507-2911.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120102T213835070-20120102T213904180_A_T-XI0B.jpg","","","","","true","false"
"9","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-03 09:41:30.34","2012-01-03 09:43:17.35","51487","180","","I6","","2131201/2238211","D","49.61 8.02","52.82 8.31 52.71 9.4 49.43 8.5 46.4 7.71 46.51 6.76 49.54 7.48 52.82 8.31","ENVISAT-1-12010309413034-14701.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120103T094130340-20120103T094317350_D_T-XI0B.jpg","","","","","true","false"
"10","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-04 09:04:50.52","2012-01-04 09:06:54.70","51501","194","","I6","","2136227/2260407","D","48.81 17","52.52 17.42 52.41 18.51 49.43 17.69 45.89 16.78 45.08 16.58 45.2 15.64 46 15.83 49.54 16.67 52.52 17.42","ENVISAT-1-12010409045052-20418.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120104T090450520-20120104T090654700_D_T-XI0B.jpg","","","","","true","false"
